Timestamp,Action,Price,Balance,PnL%,Result
2026-02-09T21:55:00.000Z,ENTRY_SHORT,87.2900,10.00,0,PENDING
2026-02-09T23:45:00.000Z,EXIT_SHORT,86.7780,11.22,30.48%,WIN
2026-02-10T00:30:00.000Z,ENTRY_SHORT,86.6800,11.22,0,PENDING
2026-02-10T00:45:00.000Z,EXIT_SHORT,86.2480,12.34,25.00%,WIN
2026-02-10T01:05:00.000Z,ENTRY_SHORT,86.9370,12.34,0,PENDING
2026-02-10T01:15:00.000Z,EXIT_SHORT,87.0770,11.77,-11.59%,LOSS
2026-02-10T02:25:00.000Z,ENTRY_SHORT,86.6960,11.77,0,PENDING
2026-02-10T03:05:00.000Z,EXIT_SHORT,86.1830,12.95,25.00%,WIN
2026-02-10T03:15:00.000Z,ENTRY_LONG,85.7280,12.95,0,PENDING
2026-02-10T03:30:00.000Z,EXIT_LONG,85.5110,12.31,-12.24%,LOSS
2026-02-10T04:35:00.000Z,ENTRY_LONG,86.3310,12.31,0,PENDING
2026-02-10T05:20:00.000Z,EXIT_LONG,86.1890,11.76,-11.12%,LOSS
2026-02-10T05:25:00.000Z,ENTRY_SHORT,86.0380,11.76,0,PENDING
2026-02-10T05:30:00.000Z,EXIT_SHORT,86.2110,11.29,-10.00%,LOSS
2026-02-10T07:40:00.000Z,ENTRY_LONG,84.5390,11.29,0,PENDING
2026-02-10T08:15:00.000Z,EXIT_LONG,84.3010,10.73,-12.54%,LOSS
2026-02-10T08:20:00.000Z,ENTRY_LONG,84.6820,10.73,0,PENDING
2026-02-10T08:25:00.000Z,EXIT_LONG,84.4130,10.17,-13.05%,LOSS
2026-02-10T08:25:00.000Z,ENTRY_LONG,84.4130,10.17,0,PENDING
2026-02-10T09:00:00.000Z,EXIT_LONG,84.9500,11.18,25.00%,WIN
2026-02-10T09:50:00.000Z,ENTRY_SHORT,84.5050,11.18,0,PENDING
2026-02-10T11:00:00.000Z,EXIT_SHORT,84.2050,12.30,25.00%,WIN
2026-02-10T11:20:00.000Z,ENTRY_SHORT,84.2920,12.30,0,PENDING
2026-02-10T11:30:00.000Z,EXIT_SHORT,84.4670,11.81,-10.00%,LOSS
2026-02-10T11:40:00.000Z,ENTRY_LONG,84.0210,11.81,0,PENDING
2026-02-10T11:45:00.000Z,EXIT_LONG,84.0920,11.34,-10.00%,LOSS
2026-02-10T11:45:00.000Z,ENTRY_LONG,84.0920,11.34,0,PENDING
2026-02-10T11:50:00.000Z,EXIT_LONG,83.7950,10.88,-10.06%,LOSS
2026-02-10T11:50:00.000Z,ENTRY_SHORT,83.7950,10.88,0,PENDING
2026-02-10T12:00:00.000Z,EXIT_SHORT,84.0000,10.41,-10.78%,LOSS
2026-02-10T12:05:00.000Z,ENTRY_SHORT,84.0700,10.41,0,PENDING
2026-02-10T12:30:00.000Z,EXIT_SHORT,84.0900,9.96,-10.84%,LOSS
2026-02-10T12:50:00.000Z,ENTRY_SHORT,83.9260,9.96,0,PENDING
2026-02-10T13:15:00.000Z,EXIT_SHORT,84.0600,9.56,-10.00%,LOSS
2026-02-10T14:40:00.000Z,ENTRY_SHORT,83.6400,9.56,0,PENDING
2026-02-10T14:50:00.000Z,EXIT_SHORT,83.9170,8.86,-18.33%,LOSS
2026-02-10T14:50:00.000Z,ENTRY_SHORT,83.9170,8.86,0,PENDING
2026-02-10T15:05:00.000Z,EXIT_SHORT,84.1230,8.22,-18.11%,LOSS
2026-02-10T15:40:00.000Z,ENTRY_LONG,84.2340,8.22,0,PENDING
2026-02-10T16:05:00.000Z,EXIT_LONG,83.9580,7.54,-20.64%,LOSS
2026-02-10T17:20:00.000Z,ENTRY_LONG,84.5480,7.54,0,PENDING
2026-02-10T17:40:00.000Z,EXIT_LONG,84.9060,8.50,31.72%,WIN
2026-02-10T20:35:00.000Z,ENTRY_LONG,82.6180,8.50,0,PENDING
2026-02-10T21:25:00.000Z,EXIT_LONG,82.3710,7.98,-15.14%,LOSS
2026-02-10T21:55:00.000Z,ENTRY_SHORT,82.4160,7.98,0,PENDING
2026-02-10T22:00:00.000Z,EXIT_SHORT,82.5800,7.58,-12.76%,LOSS
2026-02-10T22:35:00.000Z,ENTRY_LONG,82.8290,7.58,0,PENDING
2026-02-10T22:40:00.000Z,EXIT_LONG,82.7090,7.24,-11.08%,LOSS
2026-02-10T23:30:00.000Z,ENTRY_LONG,82.7430,7.24,0,PENDING
2026-02-11T00:05:00.000Z,EXIT_LONG,83.1450,7.96,25.00%,WIN
2026-02-11T02:45:00.000Z,ENTRY_SHORT,83.5960,7.96,0,PENDING
2026-02-11T03:15:00.000Z,EXIT_SHORT,82.6300,8.76,25.00%,WIN
2026-02-11T03:40:00.000Z,ENTRY_SHORT,83.6540,8.76,0,PENDING
2026-02-11T04:05:00.000Z,EXIT_SHORT,83.2160,9.67,25.89%,WIN
2026-02-11T04:15:00.000Z,ENTRY_SHORT,82.9330,9.67,0,PENDING
2026-02-11T04:20:00.000Z,EXIT_SHORT,82.4940,10.64,25.22%,WIN
2026-02-11T05:30:00.000Z,ENTRY_LONG,81.9960,10.64,0,PENDING
2026-02-11T05:45:00.000Z,EXIT_LONG,81.8730,10.03,-14.28%,LOSS
2026-02-11T05:50:00.000Z,ENTRY_LONG,81.8990,10.03,0,PENDING
2026-02-11T06:05:00.000Z,EXIT_LONG,81.2420,9.49,-13.51%,LOSS
2026-02-11T06:25:00.000Z,ENTRY_SHORT,81.4620,9.49,0,PENDING
2026-02-11T06:45:00.000Z,EXIT_SHORT,80.8920,10.67,31.14%,WIN
2026-02-11T07:20:00.000Z,ENTRY_LONG,80.5740,10.67,0,PENDING
2026-02-11T07:35:00.000Z,EXIT_LONG,81.0000,11.87,27.92%,WIN
2026-02-11T10:25:00.000Z,ENTRY_LONG,80.8580,11.87,0,PENDING
2026-02-11T10:30:00.000Z,EXIT_LONG,80.5420,11.33,-11.33%,LOSS
2026-02-11T10:45:00.000Z,ENTRY_SHORT,80.5540,11.33,0,PENDING
2026-02-11T11:00:00.000Z,EXIT_SHORT,80.9510,10.82,-11.31%,LOSS
2026-02-11T13:15:00.000Z,ENTRY_SHORT,80.8840,10.82,0,PENDING
2026-02-11T13:20:00.000Z,EXIT_SHORT,80.9430,10.38,-10.00%,LOSS
2026-02-11T13:25:00.000Z,ENTRY_SHORT,80.8200,10.38,0,PENDING
2026-02-11T13:30:00.000Z,EXIT_SHORT,81.6450,9.96,-10.09%,LOSS
2026-02-11T13:30:00.000Z,ENTRY_LONG,81.6450,9.96,0,PENDING
2026-02-11T13:35:00.000Z,EXIT_LONG,81.5370,9.44,-13.15%,LOSS
2026-02-11T13:35:00.000Z,ENTRY_SHORT,81.5370,9.44,0,PENDING
2026-02-11T13:40:00.000Z,EXIT_SHORT,81.2110,10.41,25.75%,WIN
2026-02-11T14:50:00.000Z,ENTRY_SHORT,80.7070,10.41,0,PENDING
2026-02-11T14:55:00.000Z,EXIT_SHORT,79.9230,12.36,46.87%,WIN
2026-02-11T14:55:00.000Z,ENTRY_LONG,79.9230,12.36,0,PENDING
2026-02-11T15:05:00.000Z,EXIT_LONG,78.9230,11.01,-27.34%,LOSS
2026-02-11T17:10:00.000Z,ENTRY_SHORT,78.7170,11.01,0,PENDING
2026-02-11T17:15:00.000Z,EXIT_SHORT,79.0090,9.88,-25.65%,LOSS
2026-02-11T17:15:00.000Z,ENTRY_SHORT,79.0090,9.88,0,PENDING
2026-02-11T17:20:00.000Z,EXIT_SHORT,79.3110,8.89,-25.23%,LOSS
2026-02-11T18:10:00.000Z,ENTRY_SHORT,78.8110,8.89,0,PENDING
2026-02-11T18:15:00.000Z,EXIT_SHORT,79.3360,8.14,-20.96%,LOSS
2026-02-11T18:30:00.000Z,ENTRY_LONG,79.4750,8.14,0,PENDING
2026-02-11T19:05:00.000Z,EXIT_LONG,80.0280,9.41,39.01%,WIN
2026-02-11T19:15:00.000Z,ENTRY_LONG,79.8270,9.41,0,PENDING
2026-02-11T19:30:00.000Z,EXIT_LONG,79.4700,8.69,-19.06%,LOSS
2026-02-11T19:40:00.000Z,ENTRY_LONG,79.9290,8.69,0,PENDING
2026-02-11T19:50:00.000Z,EXIT_LONG,79.7230,8.05,-18.52%,LOSS
2026-02-11T20:20:00.000Z,ENTRY_SHORT,79.3290,8.05,0,PENDING
2026-02-11T20:45:00.000Z,EXIT_SHORT,79.7960,7.50,-17.06%,LOSS
2026-02-11T20:45:00.000Z,ENTRY_SHORT,79.7960,7.50,0,PENDING
2026-02-11T21:05:00.000Z,EXIT_SHORT,80.1290,6.99,-16.88%,LOSS
2026-02-11T22:00:00.000Z,ENTRY_SHORT,79.9300,6.99,0,PENDING
2026-02-11T22:50:00.000Z,EXIT_SHORT,79.5820,7.85,30.50%,WIN
2026-02-11T23:25:00.000Z,ENTRY_SHORT,79.0520,7.85,0,PENDING
2026-02-11T23:35:00.000Z,EXIT_SHORT,79.5730,7.38,-14.95%,LOSS
2026-02-12T00:20:00.000Z,ENTRY_LONG,79.7360,7.38,0,PENDING
2026-02-12T00:35:00.000Z,EXIT_LONG,79.8800,8.12,25.00%,WIN
2026-02-12T02:40:00.000Z,ENTRY_LONG,80.4500,8.12,0,PENDING
2026-02-12T02:55:00.000Z,EXIT_LONG,80.2820,7.73,-11.92%,LOSS
2026-02-12T03:25:00.000Z,ENTRY_SHORT,80.1600,7.73,0,PENDING
2026-02-12T03:30:00.000Z,EXIT_SHORT,80.4000,7.42,-10.03%,LOSS
2026-02-12T03:50:00.000Z,ENTRY_LONG,80.4840,7.42,0,PENDING
2026-02-12T04:05:00.000Z,EXIT_LONG,80.9280,8.16,25.00%,WIN
2026-02-12T05:00:00.000Z,ENTRY_SHORT,80.3270,8.16,0,PENDING
2026-02-12T05:10:00.000Z,EXIT_SHORT,79.7680,8.98,25.00%,WIN
2026-02-12T05:20:00.000Z,ENTRY_SHORT,80.0210,8.98,0,PENDING
2026-02-12T05:30:00.000Z,EXIT_SHORT,80.4280,8.53,-12.53%,LOSS
2026-02-12T05:30:00.000Z,ENTRY_SHORT,80.4280,8.53,0,PENDING
2026-02-12T06:00:00.000Z,EXIT_SHORT,80.4420,8.09,-12.89%,LOSS
2026-02-12T07:25:00.000Z,ENTRY_LONG,80.7870,8.09,0,PENDING
2026-02-12T07:55:00.000Z,EXIT_LONG,80.7420,7.76,-10.00%,LOSS
2026-02-12T08:25:00.000Z,ENTRY_SHORT,80.3650,7.76,0,PENDING
2026-02-12T08:35:00.000Z,EXIT_SHORT,80.5010,7.45,-10.00%,LOSS
2026-02-12T08:55:00.000Z,ENTRY_LONG,80.7040,7.45,0,PENDING
2026-02-12T09:05:00.000Z,EXIT_LONG,80.7470,7.15,-10.00%,LOSS
2026-02-12T14:30:00.000Z,ENTRY_LONG,81.5380,7.15,0,PENDING
